sim_name,result
30_50-with-90_40,0.002949
30_50-with-70_90,0.026667
30_50-with-60_60,0.091429
30_50-with-60_90,0.049807
30_50-with-40_10,-0.096309
30_50-with-10_20,-0.128285
30_50-with-70_50,0.040249
30_50-with-20_60,-0.026667
30_50-with-60_20,-0.017778
30_50-with-60_100,0.016609
30_50-with-30_40,0.040000
30_50-with-100_90,0.011378
30_50-with-100_1,0.015162
30_50-with-50_60,0.016330
30_50-with-40_80,0.006247
30_50-with-40_20,-0.043729
30_50-with-40_40,0.013333
30_50-with-60_1,0.003368
30_50-with-80_20,-0.025220
30_50-with-30_60,0.320000
30_50-with-30_80,0.073333
30_50-with-80_60,0.017609
30_50-with-80_40,0.010565
30_50-with-80_100,0.021333
30_50-with-80_50,0.017889
30_50-with-90_70,0.042857
30_50-with-80_80,0.003152
30_50-with-60_50,0.047703
30_50-with-50_40,0.016330
30_50-with-50_100,0.025560
30_50-with-50_50,0.089443
30_50-with-50_70,0.086667
30_50-with-1_50,-0.588061
30_50-with-20_70,0.026186
30_50-with-30_100,-0.024000
30_50-with-70_10,-0.023333
30_50-with-100_50,0.017889
30_50-with-40_60,0.093333
30_50-with-70_80,0.033425
30_50-with-40_70,-0.026186
30_50-with-90_50,0.000000
30_50-with-100_70,0.012380
30_50-with-80_10,-0.069830
30_50-with-10_30,-0.120000
30_50-with-50_80,0.037417
30_50-with-70_1,-0.027133
30_50-with-40_50,-0.053666
30_50-with-100_100,0.019382
30_50-with-40_100,0.042940
30_50-with-70_40,0.034915
30_50-with-1_20,-0.464596
30_50-with-10_1,-0.096545
30_50-with-70_30,0.012247
30_50-with-1_30,-0.532799
30_50-with-30_20,-0.046667
30_50-with-10_80,-0.048107
30_50-with-90_80,-0.002722
30_50-with-100_20,-0.031021
30_50-with-10_100,-0.054772
30_50-with-10_40,-0.097980
30_50-with-1_80,-0.482639
30_50-with-80_70,0.033686
30_50-with-40_1,-0.059690
30_50-with-20_40,-0.013333
30_50-with-1_90,-0.333118
30_50-with-1_100,-0.298078
30_50-with-30_10,-0.155000
30_50-with-90_100,0.021514
30_50-with-70_100,0.026833
30_50-with-20_1,-0.047752
30_50-with-30_1,-0.048980
30_50-with-20_30,-0.061101
30_50-with-20_100,0.015614
30_50-with-50_30,-0.033333
30_50-with-70_60,0.008729
30_50-with-50_90,0.008729
30_50-with-90_90,0.012804
30_50-with-60_80,0.071111
30_50-with-20_50,-0.250440
30_50-with-1_10,-0.379600
30_50-with-20_90,0.014446
30_50-with-90_10,-0.040972
30_50-with-1_70,-0.470117
90_60-with-20_20,-0.013653
90_60-with-20_10,-0.040917
90_60-with-50_1,0.005403
90_60-with-40_30,-0.009457
90_60-with-1_1,-0.125998
90_60-with-20_80,-0.019808
90_60-with-100_60,0.053666
90_60-with-1_40,-0.190728
90_60-with-80_1,0.036636
90_60-with-90_20,0.020000
90_60-with-10_10,-0.046843
90_60-with-50_20,0.010000
90_60-with-10_90,-0.029680
90_60-with-30_70,0.008847
90_60-with-10_50,-0.011111
90_60-with-40_90,0.015762
90_60-with-70_20,-0.008729
90_60-with-1_60,-0.190515
90_60-with-70_70,0.000000
90_60-with-100_80,0.069830
90_60-with-60_10,-0.079724
90_60-with-90_1,0.030508
90_60-with-60_30,0.017778
90_60-with-100_30,0.056223
90_60-with-30_30,-0.019052
90_60-with-10_60,-0.008944
90_60-with-80_30,0.031235
90_60-with-80_90,-0.012494
90_60-with-60_40,0.025607
90_60-with-10_70,-0.015556
90_60-with-50_10,-0.035777
90_60-with-90_40,0.110000
90_60-with-70_90,0.032071
90_60-with-60_60,0.053666
90_60-with-60_90,0.035556
90_60-with-40_10,-0.040000
90_60-with-10_20,-0.042866
90_60-with-70_50,0.097980
90_60-with-20_60,0.005111
90_60-with-60_20,0.026819
90_60-with-60_100,0.003831
90_60-with-30_40,-0.014286
90_60-with-100_90,0.012494
90_60-with-100_1,-0.006661
90_60-with-50_60,0.035777
90_60-with-40_80,-0.003369
90_60-with-40_20,0.002910
90_60-with-40_40,0.020212
